Car_Number	,Initial_Read,Final_Read,Difference_In_Readings,Date_Recorded,Time_Recorded,Type_of_Car,Commercial_yes_no,State_Registered,Weather,Location,Name,,
1,33,33,0,4/2/2025,12:25:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
2,33,33,0,4/2/2025,12:25:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,TYPE OF VEHICLES
3,31,31,0,4/2/2025,12:30:00 PM,4,Y,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,1. Emergency
4,30,30,0,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,2. Hatchback
5,29,29,0,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,3. Sedan
6,31,32,-1,4/2/2025,12:30:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,4. SUV
7,31,32,-1,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,5. Van
8,27,29,-2,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,6. Minivan
9,27,29,-2,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,7. Motorcycle
10,27,29,-2,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,8. Coupe
11,27,29,-2,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,9. Truck
12,27,29,-2,4/2/2025,12:30:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,10. Pickup Truck
13,35,35,0,4/2/2025,12:30:00 PM,9,Y,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
14,31,31,0,4/2/2025,12:30:00 PM,5,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
15,35,35,0,4/2/2025,12:35:00 PM,10,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
16,30,30,0,4/2/2025,12:35:00 PM,9,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
17,28,28,0,4/2/2025,12:35:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
18,34,34,0,4/2/2025,12:35:00 PM,9,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
19,35,36,-1,4/2/2025,12:35:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
20,30,32,-2,4/2/2025,12:35:00 PM,3,Y,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
21,36,37,-1,4/2/2025,12:35:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
22,32,33,-1,4/2/2025,12:35:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
23,31,32,-1,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
24,34,37,-3,4/2/2025,12:40:00 PM,9,Y,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
25,28,29,-1,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
26,30,30,0,4/2/2025,12:40:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
27,30,30,0,4/2/2025,12:40:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
28,38,37,1,4/2/2025,12:40:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
29,30,30,0,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
30,30,32,-2,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
31,30,30,0,4/2/2025,12:40:00 PM,10,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
32,29,29,0,4/2/2025,12:40:00 PM,4,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
33,30,32,-2,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
34,37,37,0,4/2/2025,12:40:00 PM,4,N,N/A,RAINY,Thorson-Lucken Field,Tanner Buol,,
35,30,30,0,4/2/2025,12:45:00 PM,3,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
36,29,29,0,4/2/2025,12:45:00 PM,3,N,TX,RAINY,Thorson-Lucken Field,Tanner Buol,,
37,30,30,0,4/2/2025,12:45:00 PM,6,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
38,29,30,-1,4/2/2025,12:45:00 PM,3,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
39,33,34,-1,4/2/2025,12:45:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
40,34,34,0,4/2/2025,12:45:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
41,37,37,0,4/2/2025,12:45:00 PM,3,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
42,33,33,0,4/2/2025,12:45:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
43,27,28,-1,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
44,28,28,0,4/2/2025,12:50:00 PM,8,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
45,33,33,0,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
46,33,34,-1,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
47,33,32,1,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
48,30,30,0,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
49,33,34,-1,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
50,34,33,1,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
51,27,27,0,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
52,29,30,-1,4/2/2025,12:50:00 PM,6,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
53,34,34,0,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
54,35,35,0,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
55,35,35,0,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
56,35,35,0,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
57,33,32,1,4/2/2025,12:55:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
